generation	transect	bl	bh	b	N	nsig	p
26	2	-1.047928787	1.012314636	0.104749652	100	2	0.02
26	3	-1.40210142	1.264349414	-0.006079083	100	5	0.05
26	4	-1.039992728	1.213719053	0.093852416	100	4	0.04
27	1	-1.239616669	0.897530106	-0.08359113	100	3	0.03
27	2	-1.436722879	0.910993837	0.035008074	100	5	0.05
27	3	-1.02291802	1.102141542	-0.011871962	100	2	0.02
27	4	-0.985677852	1.010052903	0.174580166	100	3	0.03
28	1	-1.177668658	1.389573745	0.0329272	100	4	0.04
28	2	-0.930184678	1.039850095	0.00559937	100	8	0.08
28	3	-0.93014756	1.055780267	-0.055980101	100	1	0.01
28	4	-0.791359909	1.029933688	0.033124355	100	3	0.03
29	1	-0.675074016	1.065326032	0.085638234	100	5	0.05
29	2	-0.94745603	1.038741426	0.02595877	100	6	0.06
29	3	-0.829445805	1.02322512	0.130358957	100	0	0
29	4	-0.953160324	1.023138098	0.049568714	100	2	0.02
30	1	-1.302293308	1.063075979	-0.152451104	100	7	0.07
30	2	-0.973772316	1.079536241	0.085507522	100	4	0.04
30	3	-1.004399787	1.046586267	0.028643069	100	5	0.05
30	4	-1.008720484	0.91625766	-0.015646226	100	2	0.02
31	1	-0.896788811	1.349814743	-0.045485122	100	5	0.05
31	2	-1.164750015	1.0186823	-0.062392187	100	3	0.03
31	3	-1.093071315	1.044571609	-0.09893961	100	1	0.01
31	4	-0.989831444	1.128104679	0.097607448	100	4	0.04
32	1	-0.911549808	1.161582612	0.040142177	100	5	0.05
32	2	-1.092699664	1.018346528	-0.012135086	100	4	0.04
32	3	-1.011801027	1.414815754	0.065005964	100	7	0.07
32	4	-0.988364106	1.139605186	-0.04330405	100	3	0.03
33	1	-1.594408081	0.892843444	-0.079582207	100	4	0.04
33	2	-1.169819141	0.918177743	-0.014565818	100	3	0.03
33	3	-1.211035107	2.36624506	-0.042894989	100	3	0.03
33	4	-0.990333157	0.834213434	0.085942677	100	4	0.04
34	1	-1.19680717	0.815083132	0.015998436	100	5	0.05
34	2	-0.848961031	1.055882589	0.073664053	100	3	0.03
34	3	-0.803419225	0.971622781	0.038981283	100	2	0.02
34	4	-1.023588048	0.982401386	0.058315835	100	3	0.03
35	1	-0.977212045	1.022770047	0.039668569	100	4	0.04
35	2	-1.097275412	0.898265388	-0.010382095	100	2	0.02
35	3	-1.125556434	1.079383641	-0.061567239	100	3	0.03
35	4	-0.934752936	0.971585944	0.002102744	100	2	0.02
36	1	-0.875495881	1.194682571	0.040121075	100	4	0.04
36	2	-0.830262305	0.837700076	0.013741059	100	0	0
36	3	-1.110579141	0.860540128	0.005724137	100	4	0.04
36	4	-1.037946173	0.896251688	0.069784486	100	4	0.04
37	1	-1.003214989	0.985902216	0.005078573	100	3	0.03
37	2	-1.220192692	1.018301276	-0.02427569	100	2	0.02
37	3	-1.299191441	1.069988366	0.076045359	100	6	0.06
37	4	-1.014998663	0.993377285	-0.030928905	100	2	0.02
38	1	-0.851447232	0.846348183	0.033722869	100	3	0.03
38	2	-1.127455836	1.336788238	0.099264613	100	2	0.02
38	3	-1.22773939	0.934078141	0.091205006	100	0	0
38	4	-0.997298161	0.918717441	-0.051105267	100	1	0.01
39	1	-1.076711412	1.158356017	0.01762306	100	4	0.04
39	2	-0.846202868	1.382967869	0.057046091	100	2	0.02
39	3	-0.939197573	1.163007884	0.119972244	100	3	0.03
39	4	-0.987702717	1.230007639	-0.010761127	100	2	0.02
40	1	-1.026663713	0.875756826	0.08005726	100	5	0.05
40	2	-0.97997288	1.182417944	0.065918489	100	3	0.03
40	3	-0.914785102	0.938513202	-0.072596171	100	3	0.03
40	4	-0.859705483	0.997748289	0.056504982	100	3	0.03
41	1	-1.144817692	0.799487569	-0.076208658	100	5	0.05
41	2	-0.935264309	1.290118214	0.014656756	100	5	0.05
41	3	-1.047415834	0.974597634	-0.023509422	100	4	0.04
41	4	-0.712880558	1.267711242	0.121861272	100	2	0.02
42	1	-0.999478566	1.784739806	-0.003572359	100	1	0.01
42	2	-0.982216942	0.959039366	0.027772854	100	1	0.01
42	3	-1.075569391	1.098875076	0.092926377	100	5	0.05
42	4	-0.897145134	0.875884815	0.090962892	100	2	0.02
43	1	-0.938197171	1.113203232	0.022981692	100	6	0.06
43	2	-0.874403581	0.799350782	-0.088310868	100	2	0.02
43	3	-0.978850773	1.143997366	0.01913142	100	2	0.02
43	4	-0.737862667	1.047711078	0.082260308	100	2	0.02
44	1	-0.951402873	0.947139381	-0.052539405	100	3	0.03
44	2	-1.028403613	0.928759044	-0.049757185	100	4	0.04
44	3	-1.128198941	1.087799047	-0.048075909	100	4	0.04
44	4	-1.085507417	0.989262719	0.01141468	100	3	0.03
45	1	-1.001560654	1.098060973	0.004997104	100	2	0.02
45	2	-1.011912175	0.804811521	-0.00516906	100	5	0.05
45	3	-0.948997966	0.980792577	0.017994903	100	0	0
45	4	-1.080293703	0.908591047	-0.092000117	100	3	0.03
46	1	-0.991121434	1.189711429	0.020443231	100	3	0.03
46	2	-1.139711935	1.231620636	-0.003086581	100	2	0.02
46	3	-1.010802918	0.880900086	-0.089202881	100	2	0.02
46	4	-1.03696759	1.173018145	0.066454745	100	5	0.05
47	1	-0.7673636	0.895894737	9.60E-04	100	2	0.02
47	2	-1.047169226	0.935610447	0.001715896	100	3	0.03
47	3	-0.936202933	1.053453958	0.037609406	100	3	0.03
47	4	-1.326406401	1.027670809	0.097708626	100	5	0.05
48	1	-1.112469157	1.178150746	-0.00941817	100	2	0.02
48	2	-0.990816394	0.96333446	0.089764671	100	2	0.02
48	3	-0.95656351	0.859176293	-0.09403029	100	3	0.03
48	4	-0.783725239	1.203759624	0.041420923	100	4	0.04
49	1	-1.178430301	1.023123721	-0.035251661	100	3	0.03
49	2	-1.187297977	0.831935078	0.002758579	100	7	0.07
49	3	-0.816999844	1.114014098	-0.043530812	100	4	0.04
49	4	-0.887672034	1.041172236	0.009330274	100	3	0.03
50	1	-0.966354587	0.900349398	-0.011597179	100	4	0.04
50	2	-1.317891578	1.304847413	-0.165311579	100	6	0.06
50	3	-0.947663237	1.159120231	0.07774949	100	7	0.07
50	4	-1.214523507	1.20643921	-0.030749857	100	3	0.03
51	1	-0.921551826	0.919871351	0.122273446	100	3	0.03
51	2	-1.008977974	0.970089141	-0.079136673	100	3	0.03
51	3	-1.231109157	1.072855594	0.086022594	100	5	0.05
51	4	-0.990512538	0.701569449	-0.117277697	100	2	0.02
52	1	-1.300136474	1.046051769	0.044297179	100	3	0.03
52	2	-0.912733787	0.96136461	-3.17E-04	100	5	0.05
52	3	-1.095161896	0.828621662	0.081387692	100	3	0.03
52	4	-0.835551758	1.039696355	-0.054030888	100	3	0.03
53	1	-1.072881076	0.895356095	-0.055820594	100	2	0.02
53	2	-1.105483195	0.888995116	-0.010252865	100	5	0.05
53	3	-1.089400097	0.901926457	0.052033558	100	4	0.04
53	4	-0.7889527	1.050158355	0.056573554	100	2	0.02
54	1	-1.106566809	0.994854859	0.004820605	100	8	0.08
54	2	-0.760308671	1.106201425	0.147676988	100	2	0.02
54	3	-1.107141497	0.974649953	-0.130638398	100	4	0.04
54	4	-0.859940659	0.671640821	0.020576582	100	3	0.03
55	1	-1.101172056	1.095286117	0.038022875	100	5	0.05
55	2	-0.767915935	1.02887857	0.11919198	100	2	0.02
55	3	-1.090774765	0.988213621	-0.111301452	100	5	0.05
55	4	-1.043573144	0.765507978	0.053381413	100	3	0.03
56	1	-1.131947431	1.247160571	0.134254352	100	5	0.05
56	2	-1.037228952	1.384565385	0.104888336	100	7	0.07
56	3	-1.081231344	1.108767177	0.027537112	100	2	0.02
56	4	-1.029886478	0.856944253	0.016535378	100	3	0.03
57	1	-1.337069121	0.965382369	0.024722152	100	5	0.05
57	2	-0.877338932	0.977943632	0.049287279	100	3	0.03
57	3	-1.338710197	0.761313807	0.028352757	100	4	0.04
57	4	-1.088730074	0.918421088	-0.036712364	100	3	0.03
58	1	-0.961619489	0.914860373	0.076505875	100	5	0.05
58	2	-0.963130292	1.277236429	0.065922408	100	3	0.03
58	3	-0.997136605	1.030947543	-0.070609601	100	2	0.02
58	4	-0.86492211	1.131539972	-9.71E-04	100	6	0.06
59	1	-0.988454785	1.023745299	-0.058523977	100	3	0.03
59	2	-0.920766367	0.887602025	0.011871781	100	1	0.01
59	3	-0.748681174	0.965474382	0.097063397	100	2	0.02
59	4	-0.836678073	0.749467061	-0.077447816	100	2	0.02
60	1	-0.99014267	0.965047111	-0.012385996	100	4	0.04
60	2	-0.883327703	1.116035957	-0.009466302	100	7	0.07
60	3	-1.031935954	0.87360797	-0.042123617	100	2	0.02
60	4	-1.128652919	0.899471387	-0.118910576	100	4	0.04
61	1	-1.126428839	0.819219852	-0.0572299	100	2	0.02
61	2	-0.952526308	1.150160032	-0.01308585	100	4	0.04
61	3	-1.085807511	0.961629692	8.33E-04	100	7	0.07
61	4	-0.945837776	0.823695279	0.028468761	100	1	0.01
62	1	-0.75374731	0.77690183	0.037628284	100	3	0.03
62	2	-0.8789465	1.354225524	0.07557697	100	7	0.07
62	3	-0.948237098	0.893625409	-0.047466925	100	4	0.04
62	4	-0.914126234	1.044989088	0.022295214	100	6	0.06
63	1	-0.951114144	0.92373221	0.028513077	100	5	0.05
63	2	-1.009488562	1.288516156	0.024089918	100	8	0.08
63	3	-1.158413081	0.805153242	-0.06205349	100	4	0.04
63	4	-0.975207379	0.898972875	-0.122336342	100	4	0.04
64	1	-1.023758731	0.971140283	-0.029607217	100	5	0.05
64	2	-0.977964379	1.060612911	0.034965539	100	7	0.07
64	3	-0.893014892	1.313067669	-0.070792332	100	4	0.04
64	4	-0.982908796	1.328882585	0.065263656	100	8	0.08
65	1	-1.015076118	0.9766392	0.164710067	100	7	0.07
65	2	-0.809345172	1.089554	-0.07107616	100	3	0.03
65	3	-0.809609822	0.858148635	-0.068587816	100	2	0.02
65	4	-1.031215163	0.912403956	-9.84E-04	100	2	0.02
66	1	-0.87937951	0.77585045	0.068358295	100	0	0
66	2	-1.011010992	0.892994664	0.028748476	100	2	0.02
66	3	-1.025527441	1.372547058	-0.136604058	100	6	0.06
66	4	-0.82425467	1.239160779	0.093440704	100	5	0.05
67	1	-1.167106855	1.259418214	-0.067672982	100	6	0.06
67	2	-1.349815743	1.08693585	-0.00248854	100	1	0.01
67	3	-1.13266482	1.030407245	-0.054722348	100	8	0.08
67	4	-0.790509373	1.025792301	-0.005208307	100	2	0.02
68	1	-1.126880537	0.823975913	0.06569743	100	2	0.02
68	2	-1.24514016	1.164228105	0.04803771	100	4	0.04
68	3	-0.95533643	0.916101153	0.017904421	100	4	0.04
68	4	-0.73771418	0.968602901	0.043671207	100	0	0
69	1	-0.98336399	1.047494552	-0.047250171	100	5	0.05
69	2	-1.109635251	1.032192159	0.024695322	100	9	0.09
69	3	-0.972033624	0.787505199	-0.044432475	100	1	0.01
69	4	-0.954331721	1.224415625	0.044691493	100	9	0.09
70	1	-0.971427686	0.884006541	0.028874425	100	2	0.02
70	2	-0.833045711	1.01679651	-0.035457236	100	2	0.02
70	3	-0.951014015	1.0561298	0.038651751	100	6	0.06
70	4	-1.07726553	0.859427607	-0.110082454	100	4	0.04
71	1	-0.949862064	0.925247108	-0.051225778	100	2	0.02
71	2	-0.920517574	1.174899452	0.070897543	100	8	0.08
