generation	transect	b	p_beta	lrt_p_value
32	1	0.019913342	0.769107867	0.769128314
32	2	-0.004959712	0.940915309	0.940913269
32	3	-0.015878621	0.824240057	0.824244165
32	4	0.007862141	0.906905076	0.906905048
33	1	0.018751428	0.781517663	0.78152317
33	2	-0.030219913	0.656591634	0.656622606
33	3	-0.011602314	0.865997636	0.865996163
33	4	-0.043840621	0.511369955	0.511348105
34	1	0.05787067	0.391507906	0.391572081
34	2	-0.025413312	0.712568218	0.712583784
34	3	-0.019686131	0.771651292	0.77167078
34	4	-0.021227113	0.751804188	0.751702218
35	1	0.007896662	0.908443116	0.908439496
35	2	-0.012200555	0.858047366	0.85804575
35	3	-0.049414529	0.487391332	0.487427622
35	4	2.00E-04	0.997619171	0.997613273
36	1	-0.030431275	0.647985747	0.648028295
36	2	0.017064509	0.802711304	0.802716847
36	3	-0.009447116	0.8910406	0.891041883
36	4	0.059325254	0.373603859	0.373760008
37	1	0.088090554	0.186379735	0.186494136
37	2	0.008337969	0.901292939	0.901294151
37	3	-0.042530104	0.528971569	0.529021432
37	4	0.009980055	0.881553831	0.881556622
38	1	0.001797989	0.978432713	0.978432791
38	2	-0.090265416	0.192745118	0.192929797
38	3	0.021047637	0.753853563	0.753858265
38	4	-0.01768633	0.78970511	0.789710101
39	1	0.026462833	0.689580748	0.689583028
39	2	0.035913792	0.589671548	0.589671047
39	3	0.008121262	0.903612786	0.903611696
39	4	-0.060052171	0.359004749	0.359156677
40	1	0.006970522	0.913456809	0.913462638
40	2	0.009370627	0.886429965	0.886429652
40	3	0.011136526	0.863779547	0.863794433
40	4	0.057979165	0.371242742	0.371294908
41	1	-0.01402984	0.834777938	0.834773049
41	2	0.016533831	0.802121415	0.802139157
41	3	-0.047290794	0.468412238	0.468453083
41	4	-0.026116351	0.691929364	0.691942337
42	1	-0.069158502	0.295264124	0.295520471
42	2	0.015646178	0.813270094	0.813272516
42	3	-0.032772516	0.610553521	0.610632307
42	4	0.018598133	0.774492931	0.774501502
43	1	0.082873377	0.211535203	0.211583661
43	2	-0.054248057	0.413455912	0.413406392
43	3	-0.022674412	0.72983071	0.72984012
43	4	0.024285953	0.704456142	0.704450077
44	1	-0.031994676	0.637757773	0.637771756
44	2	-0.049118826	0.457049586	0.457028492
44	3	0.012094973	0.856688372	0.856693814
44	4	0.029553786	0.652980036	0.652991396
45	1	0.039570817	0.540029771	0.540085293
45	2	-0.012399793	0.851210473	0.851211684
45	3	-0.014873478	0.81582797	0.815819636
45	4	-0.00239273	0.970751655	0.970754596
46	1	-0.055288328	0.398202374	0.398242062
46	2	-0.091331351	0.162867252	0.163078136
46	3	0.072305689	0.273774168	0.274016225
46	4	-0.006526084	0.918765104	0.918765016
47	1	0.021460485	0.739233264	0.739251364
47	2	0.028496605	0.66368132	0.663671727
47	3	0.0283759	0.673911149	0.673983393
47	4	-0.019688387	0.761746823	0.76173909
48	1	-0.00908561	0.887713054	0.887711601
48	2	-0.025326181	0.699912093	0.699916826
48	3	0.021747279	0.733148059	0.733163262
48	4	-0.060390078	0.35696411	0.357168907
49	1	-0.055305721	0.378291058	0.378336581
49	2	-0.054941209	0.407074062	0.407052241
49	3	-0.013327243	0.838177944	0.838177087
49	4	-0.112394524	0.083865566	0.084020733
50	1	0.06335602	0.318378656	0.318332052
50	2	-0.046488242	0.476854638	0.476883591
50	3	0.025804486	0.695080494	0.695069866
50	4	-0.017433426	0.786147242	0.786161514
51	1	0.07231545	0.270866075	0.270962569
51	2	-0.086218283	0.187120362	0.187283975
51	3	-0.024637805	0.706592159	0.706598943
51	4	0.039139967	0.568163949	0.568155483
52	1	0.0042406	0.95044074	0.950440387
52	2	0.086953811	0.169863897	0.170068643
52	3	-0.055976052	0.410376721	0.410461236
52	4	7.31E-04	0.990982346	0.990982421
53	1	-0.007055926	0.917312803	0.917311998
53	2	0.008860027	0.892856515	0.892858833
53	3	-0.060727686	0.359637799	0.359709489
53	4	0.003314681	0.960699459	0.960699178
54	1	0.019779843	0.777197528	0.77720551
54	2	0.018831099	0.774899895	0.774927566
54	3	0.023496392	0.72518699	0.725187256
54	4	0.007499071	0.910114824	0.910144762
55	1	-0.01861167	0.787454213	0.787449107
55	2	0.07187541	0.272491794	0.27266084
55	3	-0.0270373	0.69157604	0.691598205
55	4	-0.056299337	0.415173566	0.415292025
56	1	0.059726973	0.392456183	0.392613417
56	2	-0.057612447	0.387036354	0.387122404
56	3	0.019738441	0.76968389	0.769696866
56	4	-0.018372282	0.79480568	0.794814455
