generation	transect	bl	bh	b	N	nsig	p
26	2	-0.965244758	1.063900183	0.032974776	100	5	0.05
26	3	-0.97834943	0.960377408	-0.033172439	100	3	0.03
26	4	-1.220650813	1.205242995	-0.003747001	100	6	0.06
27	1	-1.147788578	1.529547978	0.08632216	100	4	0.04
27	2	-0.890586819	1.028951506	0.138074637	100	3	0.03
27	3	-1.086914702	1.069034844	-0.016881104	100	2	0.02
27	4	-1.235411441	1.400407369	-0.009180322	100	4	0.04
28	1	-1.128689089	1.102635354	0.008219229	100	3	0.03
28	2	-1.208887635	1.033243509	-0.024913537	100	5	0.05
28	3	-1.123883118	0.974231397	0.011925834	100	3	0.03
28	4	-1.477153992	0.988981221	7.73E-04	100	4	0.04
29	1	-1.266862489	1.038110283	0.026034889	100	4	0.04
29	2	-1.020614166	0.951686317	0.060735843	100	3	0.03
29	3	-0.952834496	0.941392193	-0.036461381	100	1	0.01
29	4	-1.039625526	1.207685463	0.057403522	100	3	0.03
30	1	-1.33836399	1.102176175	0.023421622	100	6	0.06
30	2	-0.944598756	1.260397812	-0.031156831	100	4	0.04
30	3	-1.271810118	0.979171198	0.069298306	100	6	0.06
30	4	-0.934943951	0.863884564	0.003749999	100	2	0.02
31	1	-1.411260137	0.928425328	0.086967824	100	3	0.03
31	2	-1.000662513	0.81590578	0.002519383	100	1	0.01
31	3	-0.669885562	1.866620953	0.125669267	100	3	0.03
31	4	-1.014622747	1.184117682	0.023597994	100	4	0.04
32	1	-1.031540698	1.053654276	0.08930469	100	4	0.04
32	2	-1.007217673	1.192737055	-0.013723125	100	2	0.02
32	3	-1.412051077	1.102396884	0.080180054	100	3	0.03
32	4	-1.108430452	1.06766669	0.022454848	100	3	0.03
33	1	-1.03266903	1.051319752	0.002511626	100	3	0.03
33	2	-0.933605571	0.886985175	-0.075904148	100	2	0.02
33	3	-1.065649684	1.017338784	0.071185737	100	3	0.03
33	4	-1.170475053	0.949325209	-0.106435196	100	4	0.04
34	1	-0.952249225	0.973742293	0.087708984	100	3	0.03
34	2	-1.038389129	1.01245752	-0.048008909	100	2	0.02
34	3	-1.076854265	0.95329502	0.015154209	100	4	0.04
34	4	-1.261349957	1.001219062	-0.01001396	100	7	0.07
